ID	Gene Name	Species	GOTERM_MF_FAT
galP	Galactose-proton symporter	Escherichia coli	GO:0015293~symporter activity,
mglA	Galactose/methyl galactoside import ATP-binding protein mglA	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005351~sugar:hydrogen symporter activity,GO:0005402~cation:sugar symporter activity,GO:0005524~ATP binding,GO:0015145~monosaccharide transmembrane transporter activity,GO:0015293~symporter activity,GO:0015294~solute:cation symporter activity,GO:0015295~solute:hydrogen symporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015407~monosaccharide-transporting ATPase activity,GO:0015608~carbohydrate-importing ATPase activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043211~carbohydrate-transporting ATPase activity,GO:0043492~ATPase activity, coupled to movement of substances,GO:0051119~sugar transmembrane transporter activity,
lacA	Galactoside O-acetyltransferase	Escherichia coli	GO:0008374~O-acyltransferase activity,GO:0008870~galactoside O-acetyltransferase activity,GO:0016407~acetyltransferase activity,GO:0016413~O-acetyltransferase activity,
mglC	Galactoside transport system permease protein mglC	Escherichia coli	GO:0015145~monosaccharide transmembrane transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015407~monosaccharide-transporting ATPase activity,GO:0015608~carbohydrate-importing ATPase activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043211~carbohydrate-transporting ATPase activity,GO:0043492~ATPase activity, coupled to movement of substances,GO:0051119~sugar transmembrane transporter activity,
ydcW	Gamma-aminobutyraldehyde dehydrogenase	Escherichia coli	GO:0000166~nucleotide binding,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,GO:0016645~oxidoreductase activity, acting on the CH-NH group of donors,GO:0016646~oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor,GO:0019145~aminobutyraldehyde dehydrogenase activity,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0051287~NAD or NADH binding,
proA	Gamma-glutamyl phosphate reductase	Escherichia coli	GO:0000166~nucleotide binding,GO:0004350~glutamate-5-semialdehyde dehydrogenase activity,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,GO:0048037~cofactor binding,GO:0050661~NADP or NADPH binding,GO:0050662~coenzyme binding,
puuD	Gamma-glutamyl-gamma-aminobutyrate hydrolase	Escherichia coli	GO:0003883~CTP synthase activity,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0016879~ligase activity, forming carbon-nitrogen bonds,GO:0033969~gamma-glutamyl-gamma-aminobutyrate hydrolase activity,
ispA	Geranyltranstransferase	Escherichia coli	GO:0004161~dimethylallyltranstransferase activity,GO:0004337~geranyltranstransferase activity,GO:0004659~prenyltransferase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,
glcC	Glc operon transcriptional activator	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
mdoD	Glucans biosynthesis protein D	Escherichia coli	GO:0030246~carbohydrate binding,
mdoG	Glucans biosynthesis protein G	Escherichia coli	GO:0030246~carbohydrate binding,
gudD	Glucarate dehydratase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008872~glucarate dehydratase activity,GO:0016836~hydro-lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
gudX	Glucarate dehydratase-related protein	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008872~glucarate dehydratase activity,GO:0016836~hydro-lyase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
gutM	Glucitol operon activator protein	Escherichia coli	GO:0003677~DNA binding,
srlR	Glucitol operon repressor	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
srlA	Glucitol/sorbitol permease IIC component	Escherichia coli	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,
srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	Escherichia coli	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,
srlE	Glucitol/sorbitol-specific phosphotransferase enzyme IIB component	Escherichia coli	GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,
glk	Glucokinase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004340~glucokinase activity,GO:0004396~hexokinase activity,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0019200~carbohydrate kinase activity,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
nagB	Glucosamine-6-phosphate deaminase	Escherichia coli	GO:0004342~glucosamine-6-phosphate deaminase activity,GO:0016860~intramolecular oxidoreductase activity,GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses,GO:0019239~deaminase activity,
agp	Glucose-1-phosphatase	Escherichia coli	GO:0003993~acid phosphatase activity,GO:0008877~glucose-1-phosphatase activity,GO:0016791~phosphatase activity,GO:0019203~carbohydrate phosphatase activity,
rfbA	Glucose-1-phosphate thymidylyltransferase; Glucose-1-phosphate thymidylyltransferase 1	Escherichia coli	GO:0000287~magnesium ion binding,GO:0008879~glucose-1-phosphate thymidylyltransferase activity,GO:0016779~nucleotidyltransferase activity,GO:0042280~cell surface antigen activity, host-interacting,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
zwf	Glucose-6-phosphate 1-dehydrogenase	Escherichia coli	GO:0004345~glucose-6-phosphate dehydrogenase activity,
crr	Glucose-specific phosphotransferase enzyme IIA component	Escherichia coli	GO:0005351~sugar:hydrogen symporter activity,GO:0005402~cation:sugar symporter activity,GO:0008270~zinc ion binding,GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,GO:0015293~symporter activity,GO:0015294~solute:cation symporter activity,GO:0015295~solute:hydrogen symporter activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051119~sugar transmembrane transporter activity,
proB	Glutamate 5-kinase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003723~RNA binding,GO:0004349~glutamate 5-kinase activity,GO:0005524~ATP binding,GO:0016774~phosphotransferase activity, carboxyl group as acceptor,GO:0017076~purine nucleotide binding,GO:0019202~amino acid kinase activity,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
gadB	Glutamate decarboxylase beta	Escherichia coli	GO:0004351~glutamate decarboxylase activity,GO:0016831~carboxy-lyase activity,GO:0019842~vitamin binding,GO:0030170~pyridoxal phosphate binding,GO:0048037~cofactor binding,GO:0070279~vitamin B6 binding,
gshA	Glutamate--cysteine ligase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004357~glutamate-cysteine ligase activity,GO:0005524~ATP binding,GO:0016879~ligase activity, forming carbon-nitrogen bonds,GO:0016881~acid-amino acid ligase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
hemL	Glutamate-1-semialdehyde 2,1-aminomutase	Escherichia coli	GO:0008483~transaminase activity,GO:0016769~transferase activity, transferring nitrogenous groups,GO:0016866~intramolecular transferase activity,GO:0016869~intramolecular transferase activity, transferring amino groups,GO:0019842~vitamin binding,GO:0030170~pyridoxal phosphate binding,GO:0042286~glutamate-1-semialdehyde 2,1-aminomutase activity,GO:0048037~cofactor binding,GO:0070279~vitamin B6 binding,
ybaS	Glutaminase 1	Escherichia coli	GO:0004359~glutaminase activity,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,
yneH	Glutaminase 2	Escherichia coli	GO:0004359~glutaminase activity,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,
glnQ	Glutamine transport ATP-binding protein glnQ	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
glnS	Glutaminyl-tRNA synthetase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004812~aminoacyl-tRNA ligase activity,GO:0004819~glutamine-tRNA ligase activity,GO:0005524~ATP binding,GO:0016875~ligase activity, forming carbon-oxygen bonds,GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
yadB	Glutamyl-Q tRNA(Asp) synthetase; Insertion element IS150 uncharacterized 14 kDa protein	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004812~aminoacyl-tRNA ligase activity,GO:0004818~glutamate-tRNA ligase activity,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016875~ligase activity, forming carbon-oxygen bonds,GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
hemA	Glutamyl-tRNA reductase	Escherichia coli	GO:0000166~nucleotide binding,GO:0004764~shikimate 5-dehydrogenase activity,GO:0008883~glutamyl-tRNA reductase activity,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,GO:0048037~cofactor binding,GO:0050661~NADP or NADPH binding,GO:0050662~coenzyme binding,
gltX	Glutamyl-tRNA synthetase	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004812~aminoacyl-tRNA ligase activity,GO:0004818~glutamate-tRNA ligase activity,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016875~ligase activity, forming carbon-oxygen bonds,GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
grxA	Glutaredoxin-1	Escherichia coli	GO:0009055~electron carrier activity,GO:0015035~protein disulfide oxidoreductase activity,GO:0015036~disulfide oxidoreductase activity,GO:0016667~oxidoreductase activity, acting on sulfur group of donors,
grxB	Glutaredoxin-2	Escherichia coli	GO:0004364~glutathione transferase activity,GO:0009055~electron carrier activity,GO:0015035~protein disulfide oxidoreductase activity,GO:0015036~disulfide oxidoreductase activity,GO:0016667~oxidoreductase activity, acting on sulfur group of donors,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,
ydhD	Glutaredoxin-4	Escherichia coli	GO:0009055~electron carrier activity,GO:0015035~protein disulfide oxidoreductase activity,GO:0015036~disulfide oxidoreductase activity,GO:0016667~oxidoreductase activity, acting on sulfur group of donors,
nrdH	Glutaredoxin-like protein nrdH	Escherichia coli	GO:0009055~electron carrier activity,GO:0015035~protein disulfide oxidoreductase activity,GO:0015036~disulfide oxidoreductase activity,GO:0016667~oxidoreductase activity, acting on sulfur group of donors,
gst	Glutathione S-transferase	Escherichia coli	GO:0004364~glutathione transferase activity,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,
yliA	Glutathione import ATP-binding protein gsiA	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
gshB	Glutathione synthetase	Escherichia coli	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004363~glutathione synthase activity,GO:0005524~ATP binding,GO:0016879~ligase activity, forming carbon-nitrogen bonds,GO:0016881~acid-amino acid ligase activity,GO:0017076~purine nucleotide binding,GO:0030145~manganese ion binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
yabF	Glutathione-regulated potassium-efflux system ancillary protein kefF	Escherichia coli	GO:0009055~electron carrier activity,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,
kefC	Glutathione-regulated potassium-efflux system protein kefC	Escherichia coli	GO:0005451~monovalent cation:hydrogen antiporter activity,GO:0015077~monovalent inorganic cation transmembrane transporter activity,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0015079~potassium ion transmembrane transporter activity,GO:0015297~antiporter activity,GO:0015298~solute:cation antiporter activity,GO:0015299~solute:hydrogen antiporter activity,GO:0015300~solute:solute antiporter activity,GO:0015386~potassium:hydrogen antiporter activity,GO:0015491~cation:cation antiporter activity,GO:0015503~glutathione-regulated potassium exporter activity,GO:0022821~potassium ion antiporter activity,GO:0022890~inorganic cation transmembrane transporter activity,GO:0030955~potassium ion binding,GO:0031420~alkali metal ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046873~metal ion transmembrane transporter activity,
gapA	Glyceraldehyde-3-phosphate dehydrogenase A	Escherichia coli	GO:0000166~nucleotide binding,GO:0004365~glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity,GO:0008943~glyceraldehyde-3-phosphate dehydrogenase activity,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,GO:0051287~NAD or NADH binding,
glxK	Glycerate kinase 1	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0008887~glycerate kinase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,
glpT	Glycerol-3-phosphate transporter	Escherichia coli	GO:0015166~polyol transmembrane transporter activity,GO:0015168~glycerol transmembrane transporter activity,GO:0015169~glycerol-3-phosphate transmembrane transporter activity,GO:0015665~alcohol transmembrane transporter activity,
glpQ	Glycerophosphoryl diester phosphodiesterase	Escherichia coli	GO:0005509~calcium ion binding,GO:0008081~phosphoric diester hydrolase activity,GO:0008889~glycerophosphodiester phosphodiesterase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,
proX	Glycine betaine-binding periplasmic protein	Escherichia coli	GO:0015596~glycine betaine/proline porter activity,
proV	Glycine betaine/L-proline transport ATP-binding protein proV	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005275~amine transmembrane transporter activity,GO:0005524~ATP binding,GO:0015171~amino acid transmembrane transporter activity,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015418~quaternary-ammonium-compound-transporting ATPase activity,GO:0015596~glycine betaine/proline porter activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043492~ATPase activity, coupled to movement of substances,
proW	Glycine betaine/L-proline transport system permease protein proW	Escherichia coli	GO:0015596~glycine betaine/proline porter activity,
gcvH	Glycine cleavage system H protein	Escherichia coli	GO:0031405~lipoic acid binding,GO:0031406~carboxylic acid binding,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,
gcvA	Glycine cleavage system transcriptional activator	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
gcvR	Glycine cleavage system transcriptional repressor	Escherichia coli	GO:0003677~DNA binding,GO:0004647~phosphoserine phosphatase activity,GO:0016597~amino acid binding,GO:0016791~phosphatase activity,GO:0031406~carboxylic acid binding,GO:0043176~amine binding,
gcvP	Glycine dehydrogenase [decarboxylating]	Escherichia coli	GO:0004375~glycine dehydrogenase (decarboxylating) activity,GO:0016638~oxidoreductase activity, acting on the CH-NH2 group of donors,GO:0016642~oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor,GO:0019842~vitamin binding,GO:0030170~pyridoxal phosphate binding,GO:0048037~cofactor binding,GO:0070279~vitamin B6 binding,
glcD	Glycolate oxidase subunit glcD	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003973~(S)-2-hydroxy-acid oxidase activity,GO:0008891~glycolate oxidase activity,GO:0016899~oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor,GO:0017076~purine nucleotide binding,GO:0019154~glycolate dehydrogenase activity,GO:0030554~adenyl nucleotide binding,GO:0048037~cofactor binding,GO:0050660~FAD binding,GO:0050662~coenzyme binding,
gcl	Glyoxylate carboligase	Escherichia coli	GO:0000287~magnesium ion binding,GO:0009028~tartronate-semialdehyde synthase activity,GO:0016831~carboxy-lyase activity,GO:0019842~vitamin binding,GO:0030976~thiamin pyrophosphate binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0048037~cofactor binding,GO:0050662~coenzyme binding,
ycdW	Glyoxylate/hydroxypyruvate reductase A	Escherichia coli	GO:0016618~hydroxypyruvate reductase activity,GO:0030267~glyoxylate reductase (NADP) activity,GO:0048037~cofactor binding,
guaD	Guanine deaminase	Escherichia coli	GO:0008270~zinc ion binding,GO:0008892~guanine deaminase activity,GO:0016814~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines,GO:0019239~deaminase activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
ybfD	H repeat-associated protein ybfD	Escherichia coli	GO:0003677~DNA binding,GO:0004803~transposase activity,
ydcC	H repeat-associated protein ydcC	Escherichia coli	GO:0003677~DNA binding,GO:0004803~transposase activity,
yadQ	H(+)/Cl(-) exchange transporter clcA	Escherichia coli	GO:0005216~ion channel activity,GO:0005244~voltage-gated ion channel activity,GO:0005247~voltage-gated chloride channel activity,GO:0005253~anion channel activity,GO:0005254~chloride channel activity,GO:0008308~voltage-gated anion channel activity,GO:0008509~anion transmembrane transporter activity,GO:0015267~channel activity,GO:0015297~antiporter activity,GO:0022803~passive transmembrane transporter activity,GO:0022832~voltage-gated channel activity,GO:0022836~gated channel activity,GO:0022838~substrate specific channel activity,GO:0031404~chloride ion binding,GO:0043167~ion binding,GO:0043168~anion binding,
ycfF	HIT-like protein hinT	Escherichia coli	GO:0004081~bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity,GO:0004551~nucleotide diphosphatase activity,GO:0008796~bis(5'-nucleosyl)-tetraphosphatase activity,
ybbS	HTH-type transcriptional activator allS	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
abgR	HTH-type transcriptional regulator abgR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
acrR	HTH-type transcriptional regulator acrR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
appY	HTH-type transcriptional regulator appY	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,GO:0043565~sequence-specific DNA binding,
ascG	HTH-type transcriptional regulator ascG	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
betI	HTH-type transcriptional regulator betI	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
cbl	HTH-type transcriptional regulator cbl	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
cueR	HTH-type transcriptional regulator cueR	Escherichia coli	GO:0000166~nucleotide binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0005507~copper ion binding,GO:0016563~transcription activator activity,GO:0030528~transcription regulator activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
cynR	HTH-type transcriptional regulator cynR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
cysB	HTH-type transcriptional regulator cysB	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
dsdC	HTH-type transcriptional regulator dsdC	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
galR	HTH-type transcriptional regulator galR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
galS	HTH-type transcriptional regulator galS	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
yebK	HTH-type transcriptional regulator hexR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0005529~sugar binding,GO:0030246~carbohydrate binding,GO:0030528~transcription regulator activity,
hipB	HTH-type transcriptional regulator hipB	Escherichia coli	GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,
iscR	HTH-type transcriptional regulator iscR	Escherichia coli	GO:0003677~DNA binding,GO:0003690~double-stranded DNA binding,GO:0003700~transcription factor activity,GO:0005506~iron ion binding,GO:0030528~transcription regulator activity,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043566~structure-specific DNA binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051540~metal cluster binding,
ycdC	HTH-type transcriptional regulator rutR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0016564~transcription repressor activity,GO:0016566~specific transcriptional repressor activity,GO:0030528~transcription regulator activity,
yabN	HTH-type transcriptional regulator sgrR	Escherichia coli	GO:0003677~DNA binding,GO:0016563~transcription activator activity,GO:0016564~transcription repressor activity,GO:0030528~transcription regulator activity,
uidR	HTH-type transcriptional regulator uidR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
ydeO	HTH-type transcriptional regulator ydeO	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,GO:0043565~sequence-specific DNA binding,
allR	HTH-type transcriptional repressor allR	Escherichia coli	GO:0003677~DNA binding,
purR	HTH-type transcriptional repressor purR	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0016564~transcription repressor activity,GO:0030528~transcription regulator activity,
hcaR	Hca operon transcriptional activator	Escherichia coli	GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0030528~transcription regulator activity,
helD	Helicase IV	Escherichia coli	GO:0000155~two-component sensor activity,GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0004003~ATP-dependent DNA helicase activity,GO:0004386~helicase activity,GO:0004672~protein kinase activity,GO:0004673~protein histidine kinase activity,GO:0005524~ATP binding,GO:0008026~ATP-dependent helicase activity,GO:0008094~DNA-dependent ATPase activity,GO:0016775~phosphotransferase activity, nitrogenous group as acceptor,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0070035~purine NTP-dependent helicase activity,
ccmB	Heme exporter protein B	Escherichia coli	GO:0015232~heme transporter activity,GO:0051184~cofactor transporter activity,
ccmC	Heme exporter protein C	Escherichia coli	GO:0015232~heme transporter activity,GO:0051184~cofactor transporter activity,
dos	Heme-regulated cyclic di-GMP, cyclic AMP phosphodiesterase,	Escherichia coli	GO:0000155~two-component sensor activity,GO:0000287~magnesium ion binding,GO:0004672~protein kinase activity,GO:0004673~protein histidine kinase activity,GO:0005506~iron ion binding,GO:0016775~phosphotransferase activity, nitrogenous group as acceptor,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
hha	Hemolysin expression-modulating protein	Escherichia coli	GO:0003677~DNA binding,
znuB	High-affinity zinc uptake system membrane protein znuB	Escherichia coli	GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
znuA	High-affinity zinc uptake system protein znuA	Escherichia coli	GO:0008270~zinc ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,
hisB	Histidine biosynthesis bifunctional protein hisB	Escherichia coli	GO:0004401~histidinol-phosphatase activity,GO:0004424~imidazoleglycerol-phosphate dehydratase activity,GO:0016791~phosphatase activity,GO:0016836~hydro-lyase activity,
