"","From","To","Species","Gene.Name"
"1720","pmrD",7153818,"Escherichia coli IAI39","polymyxin resistance protein B(pmrD)"
"1721","pmrD",945130,"Escherichia coli str. K-12 substr. MG1655","inactive two-component system connector protein(pmrD)"
"1722","ldhA",7156720,"Escherichia coli UMN026","fermentative D-lactate dehydrogenase(ldhA)"
"1723","ldhA",946315,"Escherichia coli str. K-12 substr. MG1655","fermentative D-lactate dehydrogenase, NAD-dependent(ldhA)"
"1724","ldhA",7149784,"Escherichia coli IAI39","fermentative D-lactate dehydrogenase, NAD-dependent(ldhA)"
"1725","prsA",7158564,"Escherichia coli UMN026","ribose-phosphate pyrophosphokinase(prsA)"
"1726","prsA",7153479,"Escherichia coli IAI39","ribose-phosphate pyrophosphokinase(prsA)"
"1727","cdaR",7151114,"Escherichia coli IAI39","carbohydrate diacid transcriptional activator CdaR(cdaR)"
"1728","cdaR",7156137,"Escherichia coli UMN026","carbohydrate diacid transcriptional activator CdaR(cdaR)"
"1729","cdaR",944860,"Escherichia coli str. K-12 substr. MG1655","carbohydrate diacid regulon transcriptional regulator; autoregulator(cdaR)"
"1730","ligT",944848,"Escherichia coli str. K-12 substr. MG1655","2'-5' RNA ligase(ligT)"
"1731","ligT",7157909,"Escherichia coli UMN026","2'-5' RNA ligase(ligT)"
"1732","ligT",7152842,"Escherichia coli IAI39","2'-5' RNA ligase(ligT)"
"1733","marA",947613,"Escherichia coli str. K-12 substr. MG1655","multiple antibiotic resistance transcriptional regulator(marA)"
"1734","marA",7157063,"Escherichia coli UMN026","DNA-binding transcriptional activator MarA(marA)"
"1735","marA",7152017,"Escherichia coli IAI39","DNA-binding transcriptional activator MarA(marA)"
"1736","marC",7153538,"Escherichia coli IAI39","multiple drug resistance protein MarC(marC)"
"1737","marC",947132,"Escherichia coli str. K-12 substr. MG1655","UPF0056 family inner membrane protein(marC)"
"1738","marC",7158633,"Escherichia coli UMN026","multiple drug resistance protein MarC(marC)"
"1739","marB",946184,"Escherichia coli str. K-12 substr. MG1655","periplasmic mar operon regulator(marB)"
"1740","marB",7152014,"Escherichia coli IAI39","hypothetical protein(marB)"
"1741","marB",7157060,"Escherichia coli UMN026","hypothetical protein(marB)"
"1742","marR",7157062,"Escherichia coli UMN026","DNA-binding transcriptional repressor MarR(marR)"
"1743","marR",7152016,"Escherichia coli IAI39","DNA-binding transcriptional repressor MarR(marR)"
"1744","marR",945825,"Escherichia coli str. K-12 substr. MG1655","transcriptional repressor of multiple antibiotic resistance(marR)"
"1745","fumA",7156478,"Escherichia coli UMN026","fumarate hydratase(fumA)"
"1746","fumA",7152008,"Escherichia coli IAI39","fumarate hydratase(fumA)"
"1747","fumA",946826,"Escherichia coli str. K-12 substr. MG1655","fumarate hydratase (fumarase A), aerobic Class I(fumA)"
"1748","fumC",913708,"Escherichia coli O157:H7 str. Sakai","fumarate hydratase(fumC)"
"1749","fumC",7151453,"Escherichia coli IAI39","fumarate hydratase(fumC)"
"1750","fumC",946147,"Escherichia coli str. K-12 substr. MG1655","fumarate hydratase (fumarase C),aerobic Class II(fumC)"
"1751","fumC",7158141,"Escherichia coli UMN026","fumarate hydratase(fumC)"
"1752","fumC",13701805,"Escherichia coli O104:H4 str. 2011C-3493","fumarate hydratase(fumC)"
"1753","fumC",12875235,"Escherichia coli O83:H1 str. NRG 857C","fumarate hydratase(fumC)"
"1754","sohB",7158577,"Escherichia coli UMN026","putative periplasmic protease(sohB)"
"1755","sohB",7149758,"Escherichia coli IAI39","putative periplasmic protease(sohB)"
"1756","sohB",945858,"Escherichia coli str. K-12 substr. MG1655","inner membrane protein, S49 peptidase family protein(sohB)"
"1757","sfcA",7155699,"Escherichia coli UMN026","malate dehydrogenase(sfcA)"
"1758","sfcA",7150688,"Escherichia coli IAI39","malate dehydrogenase(sfcA)"
"1759","rplT",7152702,"Escherichia coli IAI39","50S ribosomal protein L20(rplT)"
"1760","rplT",912729,"Escherichia coli O157:H7 str. Sakai","50S ribosomal protein L20(rplT)"
"1761","rplT",945152,"Escherichia coli str. K-12 substr. MG1655","50S ribosomal subunit protein L20(rplT)"
"1762","rplT",7157435,"Escherichia coli UMN026","50S ribosomal protein L20(rplT)"
"1763","rplT",12875343,"Escherichia coli O83:H1 str. NRG 857C","50S ribosomal protein L20(rplT)"
"1764","rplT",13701507,"Escherichia coli O104:H4 str. 2011C-3493","50S ribosomal protein L20(rplT)"
"1765","ogt",7151394,"Escherichia coli IAI39","O-6-alkylguanine-DNA:cysteine-protein methyltransferase(ogt)"
"1766","ogt",945853,"Escherichia coli str. K-12 substr. MG1655","O-6-alkylguanine-DNA:cysteine-protein methyltransferase(ogt)"
"1767","ogt",7156420,"Escherichia coli UMN026","O-6-alkylguanine-DNA:cysteine-protein methyltransferase(ogt)"
"1768","kil",8656958,"Escherichia coli","colicin lysis protein(kil)"
"1769","kil",13701836,"Escherichia coli O104:H4 str. 2011C-3493","FtsZ inhibitor protein(kil)"
"1770","kil",917140,"Escherichia coli O157:H7 str. Sakai","FtsZ inhibitor protein(kil)"
"1771","kil",7149921,"Escherichia coli IAI39","Host killing protein from bacteriophage origin(kil)"
"1772","kil",7156502,"Escherichia coli UMN026","Host killing protein from bacteriophage origin(kil)"
"1773","kil",2693958,"Escherichia coli","kil protein(kil)"
"1774","abgA",7150652,"Escherichia coli IAI39","putative peptidase, para-aminobenzoyl-glutamate utilization protein(abgA)"
"1775","abgA",7155667,"Escherichia coli UMN026","putative peptidase, para-aminobenzoyl-glutamate utilization protein(abgA)"
"1776","abgA",945742,"Escherichia coli str. K-12 substr. MG1655","p-aminobenzoyl-glutamate hydrolase, A subunit(abgA)"
"1777","sodC",945343,"Escherichia coli str. K-12 substr. MG1655","superoxide dismutase, Cu, Zn, periplasmic(sodC)"
"1778","sodC",7153576,"Escherichia coli IAI39","superoxide dismutase(sodC)"
"1779","sodC",7158676,"Escherichia coli UMN026","superoxide dismutase(sodC)"
"1780","sodB",7158678,"Escherichia coli UMN026","superoxide dismutase(sodB)"
"1781","sodB",7153582,"Escherichia coli IAI39","superoxide dismutase(sodB)"
"1782","sodB",944953,"Escherichia coli str. K-12 substr. MG1655","superoxide dismutase, Fe(sodB)"
"1783","rplY",7153791,"Escherichia coli IAI39","50S ribosomal protein L25(rplY)"
"1784","rplY",7158871,"Escherichia coli UMN026","50S ribosomal protein L25(rplY)"
"1785","rplY",945618,"Escherichia coli str. K-12 substr. MG1655","50S ribosomal subunit protein L25(rplY)"
"1786","surA",7157404,"Escherichia coli UMN026","peptidyl-prolyl cis-trans isomerase SurA(surA)"
"1787","surA",944812,"Escherichia coli str. K-12 substr. MG1655","peptidyl-prolyl cis-trans isomerase (PPIase)(surA)"
"1788","surA",7152355,"Escherichia coli IAI39","peptidyl-prolyl cis-trans isomerase SurA(surA)"
"1789","abgB",7150654,"Escherichia coli IAI39","pseudo(abgB)"
"1790","abgB",7150651,"Escherichia coli IAI39","pseudo(abgB)"
"1791","abgB",945950,"Escherichia coli str. K-12 substr. MG1655","p-aminobenzoyl-glutamate hydrolase, B subunit(abgB)"
"1792","abgB",7154978,"Escherichia coli UMN026","putative peptidase, aminobenzoyl-glutamate utilization protein(abgB)"
"1793","rpmF",912317,"Escherichia coli O157:H7 str. Sakai","50S ribosomal protein L32(rpmF)"
"1794","rpmF",13701077,"Escherichia coli O104:H4 str. 2011C-3493","50S ribosomal protein L32(rpmF)"
"1795","rpmF",945657,"Escherichia coli str. K-12 substr. MG1655","50S ribosomal subunit protein L32(rpmF)"
"1796","rpmF",7158526,"Escherichia coli UMN026","50S ribosomal protein L32(rpmF)"
"1797","rpmF",12877860,"Escherichia coli O83:H1 str. NRG 857C","50S ribosomal protein L32(rpmF)"
"1798","rpmF",7152429,"Escherichia coli IAI39","50S ribosomal protein L32(rpmF)"
"1799","tppB",912792,"Escherichia coli O157:H7 str. Sakai","tripeptide transporter permease(tppB)"
"1800","tppB",12875259,"Escherichia coli O83:H1 str. NRG 857C","putative tripeptide transporter permease(tppB)"
"1801","tppB",13701711,"Escherichia coli O104:H4 str. 2011C-3493","putative tripeptide transporter permease(tppB)"
"1802","tppB",7151595,"Escherichia coli IAI39","putative tripeptide transporter permease(tppB)"
"1803","tppB",7157315,"Escherichia coli UMN026","putative tripeptide transporter permease(tppB)"
"1804","tbpA",13703489,"Escherichia coli O104:H4 str. 2011C-3493","thiamine transporter substrate binding subunit(tbpA)"
"1805","tbpA",7152974,"Escherichia coli IAI39","thiamine transporter substrate binding subunit(tbpA)"
"1806","tbpA",913490,"Escherichia coli O157:H7 str. Sakai","thiamine transporter substrate binding subunit(tbpA)"
"1807","tbpA",12874303,"Escherichia coli O83:H1 str. NRG 857C","thiamine transporter substrate binding subunit(tbpA)"
"1808","tbpA",7158061,"Escherichia coli UMN026","thiamine transporter substrate binding subunit(tbpA)"
"1809","rpmI",7157742,"Escherichia coli UMN026","50S ribosomal protein L35(rpmI)"
"1810","rpmI",12875344,"Escherichia coli O83:H1 str. NRG 857C","50S ribosomal protein L35(rpmI)"
"1811","rpmI",7151779,"Escherichia coli IAI39","50S ribosomal protein L35(rpmI)"
"1812","rpmI",912347,"Escherichia coli O157:H7 str. Sakai","50S ribosomal protein L35(rpmI)"
"1813","rpmI",13701506,"Escherichia coli O104:H4 str. 2011C-3493","50S ribosomal protein L35(rpmI)"
"1814","rpmI",946349,"Escherichia coli str. K-12 substr. MG1655","50S ribosomal subunit protein L35(rpmI)"
"1815","ldcA",913181,"Escherichia coli O157:H7 str. Sakai","L,D-carboxypeptidase A(ldcA)"
"1816","ldcA",12874840,"Escherichia coli O83:H1 str. NRG 857C","L,D-carboxypeptidase A(ldcA)"
"1817","ldcA",7151037,"Escherichia coli IAI39","L,D-carboxypeptidase A(ldcA)"
"1818","ldcA",945756,"Escherichia coli str. K-12 substr. MG1655","murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A(ldcA)"
"1819","ldcA",13700996,"Escherichia coli O104:H4 str. 2011C-3493","L,D-carboxypeptidase A(ldcA)"
"1820","ldcA",7156059,"Escherichia coli UMN026","L,D-carboxypeptidase A(ldcA)"
"1821","ykgK",7156225,"Escherichia coli UMN026","putative transcriptional regulator(ykgK)"
"1822","ykgK",7151791,"Escherichia coli IAI39","putative transcriptional regulator(ykgK)"
"1823","ykgL",944962,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(ykgL)"
"1824","ykgI",7159447,"Escherichia coli UMN026","hypothetical protein(ykgI)"
"1825","ykgI",7154355,"Escherichia coli IAI39","hypothetical protein(ykgI)"
"1826","ldcC",7155671,"Escherichia coli UMN026","lysine decarboxylase 2, constitutive(ldcC)"
"1827","ldcC",944887,"Escherichia coli str. K-12 substr. MG1655","lysine decarboxylase 2, constitutive(ldcC)"
"1828","ldcC",7150656,"Escherichia coli IAI39","lysine decarboxylase 2(ldcC)"
"1829","ykgJ",945905,"Escherichia coli str. K-12 substr. MG1655","UPF0153 cysteine cluster protein(ykgJ)"
"1830","ykgG",945906,"Escherichia coli str. K-12 substr. MG1655","LutC family protein; putative electron transport chain YkgEFG component(ykgG)"
"1831","ykgG",7159451,"Escherichia coli UMN026","hypothetical protein(ykgG)"
"1832","ykgG",7149546,"Escherichia coli IAI39","hypothetical protein(ykgG)"
"1833","ykgH",7154665,"Escherichia coli UMN026","hypothetical protein(ykgH)"
"1834","ykgH",947513,"Escherichia coli str. K-12 substr. MG1655","putative inner membrane protein(ykgH)"
"1835","ykgE",948438,"Escherichia coli str. K-12 substr. MG1655","cysteine-rich LutA family protein; putative electron transport chain YkgEFG component(ykgE)"
"1836","ykgE",7159449,"Escherichia coli UMN026","putative hydroxyacid oxidoreductase (Fe-S centre)(ykgE)"
"1837","ykgE",7154358,"Escherichia coli IAI39","putative hydroxyacid oxidoreductase (Fe-S centre)(ykgE)"
"1838","ykgF",7159450,"Escherichia coli UMN026","putative oxidoreductase(ykgF)"
"1839","ykgF",7154359,"Escherichia coli IAI39","putative oxidoreductase(ykgF)"
"1840","ykgF",944980,"Escherichia coli str. K-12 substr. MG1655","ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component(ykgF)"
"1841","ykgD",7159448,"Escherichia coli UMN026","putative AraC-type DNA-binding transcriptional regulator(ykgD)"
"1842","ykgD",7154357,"Escherichia coli IAI39","putative AraC-type DNA-binding transcriptional regulator(ykgD)"
"1843","ykgC",7154356,"Escherichia coli IAI39","pyridine nucleotide-disulfide oxidoreductase(ykgC)"
"1844","ykgC",7159454,"Escherichia coli UMN026","pyridine nucleotide-disulfide oxidoreductase(ykgC)"
"1845","ykgB",7154360,"Escherichia coli IAI39","hypothetical protein(ykgB)"
"1846","ykgB",7154664,"Escherichia coli UMN026","hypothetical protein(ykgB)"
"1847","pgaA",7153434,"Escherichia coli IAI39","outer membrane protein PgaA(pgaA)"
"1848","pgaA",945596,"Escherichia coli str. K-12 substr. MG1655","biofilm adhesin polysaccharide PGA secretin; OM porin; poly-beta-1,6-N-acetyl-D-glucosamine export protein(pgaA)"
"1849","pgaA",912850,"Escherichia coli O157:H7 str. Sakai","outer membrane protein PgaA(pgaA)"
"1850","pgaA",13701224,"Escherichia coli O104:H4 str. 2011C-3493","outer membrane protein PgaA(pgaA)"
"1851","pgaA",12877722,"Escherichia coli O83:H1 str. NRG 857C","outer membrane protein PgaA(pgaA)"
"1852","emrY",7156206,"Escherichia coli UMN026","putative multidrug efflux system(emrY)"
"1853","emrY",7151176,"Escherichia coli IAI39","putative multidrug efflux system(emrY)"
"1854","emrY",946835,"Escherichia coli str. K-12 substr. MG1655","putative multidrug efflux system(emrY)"
"1855","abgR",7155666,"Escherichia coli UMN026","putative DNA-binding transcriptional regulator(abgR)"
"1856","abgR",7150650,"Escherichia coli IAI39","putative DNA-binding transcriptional regulator(abgR)"
"1857","abgR",945831,"Escherichia coli str. K-12 substr. MG1655","putative DNA-binding transcriptional regulator of abgABT operon(abgR)"
"1858","emrK",7156244,"Escherichia coli UMN026","EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component(emrK)"
"1859","emrK",946840,"Escherichia coli str. K-12 substr. MG1655","multidrug resistance efflux pump membrane fusion protein(emrK)"
"1860","emrK",7151218,"Escherichia coli IAI39","EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component(emrK)"
"1861","pgaB",7152377,"Escherichia coli IAI39","outer membrane N-deacetylase(pgaB)"
"1862","pgaB",12877721,"Escherichia coli O83:H1 str. NRG 857C","outer membrane N-deacetylase(pgaB)"
"1863","pgaB",945604,"Escherichia coli str. K-12 substr. MG1655","poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein(pgaB)"
"1864","pgaB",912831,"Escherichia coli O157:H7 str. Sakai","outer membrane N-deacetylase(pgaB)"
"1865","pgaB",13701225,"Escherichia coli O104:H4 str. 2011C-3493","outer membrane N-deacetylase(pgaB)"
"1866","abgT",7157343,"Escherichia coli UMN026","putative aminobenzoyl-glutamate transporter(abgT)"
"1867","abgT",945912,"Escherichia coli str. K-12 substr. MG1655","p-aminobenzoyl-glutamate transporter; membrane protein(abgT)"
"1868","abgT",13702304,"Escherichia coli O104:H4 str. 2011C-3493","putative aminobenzoyl-glutamate transporter(abgT)"
"1869","abgT",7152289,"Escherichia coli IAI39","putative aminobenzoyl-glutamate transporter(abgT)"
"1870","inaA",946731,"Escherichia coli str. K-12 substr. MG1655","acid-inducible Kdo/WaaP family putative kinase(inaA)"
"1871","inaA",7158878,"Escherichia coli UMN026","hypothetical protein(inaA)"
"1872","inaA",7153798,"Escherichia coli IAI39","hypothetical protein(inaA)"
"1873","pgaD",7152379,"Escherichia coli IAI39","putative PGA biosynthesis protein(pgaD)"
"1874","pgaD",12877719,"Escherichia coli O83:H1 str. NRG 857C","putative PGA biosynthesis protein(pgaD)"
"1875","pgaD",912758,"Escherichia coli O157:H7 str. Sakai","PGA biosynthesis protein(pgaD)"
"1876","pgaD",13701227,"Escherichia coli O104:H4 str. 2011C-3493","putative PGA biosynthesis protein(pgaD)"
"1877","pgaD",947503,"Escherichia coli str. K-12 substr. MG1655","biofilm PGA synthase PgaCD, regulatory subunit; c-di-GMP-stimulated activity and dimerization(pgaD)"
"1878","emrE",913273,"Escherichia coli O157:H7 str. Sakai","multidrug efflux protein(emrE)"
"1879","emrE",12878006,"Escherichia coli O83:H1 str. NRG 857C","multidrug efflux protein(emrE)"
"1880","emrE",13699515,"Escherichia coli O104:H4 str. 2011C-3493","multidrug efflux protein(emrE)"
"1881","emrE",13701760,"Escherichia coli O104:H4 str. 2011C-3493","multidrug efflux protein(emrE)"
"1882","emrE",12878270,"Escherichia coli O83:H1 str. NRG 857C","multidrug efflux protein(emrE)"
"1883","emrE",948442,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; multidrug resistance protein(emrE)"
"1884","sapF",7149771,"Escherichia coli IAI39","antimicrobial peptide ABC transporter ATP-binding protein(sapF)"
"1885","sapF",7158586,"Escherichia coli UMN026","antimicrobial peptide ABC transporter ATP-binding protein transporter(sapF)"
"1886","sapF",945335,"Escherichia coli str. K-12 substr. MG1655","antimicrobial peptide ABC transporter ATPase(sapF)"
"1887","sapD",7157869,"Escherichia coli UMN026","antimicrobial peptide ABC transporter ATP-binding protein(sapD)"
"1888","sapD",946203,"Escherichia coli str. K-12 substr. MG1655","antimicrobial peptide ABC transporter ATPase(sapD)"
"1889","sapD",7152802,"Escherichia coli IAI39","antimicrobial peptide ABC transporter ATP-binding protein(sapD)"
"1890","sapC",945266,"Escherichia coli str. K-12 substr. MG1655","antimicrobial peptide transport ABC transporter permease(sapC)"
"1891","sapC",7157868,"Escherichia coli UMN026","antimicrobial peptide ABC transporter permease(sapC)"
"1892","sapC",7152801,"Escherichia coli IAI39","antimicrobial peptide ABC transporter permease(sapC)"
"1893","sapB",946191,"Escherichia coli str. K-12 substr. MG1655","antimicrobial peptide transport ABC transporter permease(sapB)"
"1894","sapB",7157867,"Escherichia coli UMN026","antimicrobial peptide ABC transporter permease(sapB)"
"1895","sapB",7152800,"Escherichia coli IAI39","antimicrobial peptide ABC transporter permease(sapB)"
"1896","arcC",6276130,"Escherichia coli","ArcC(ArcC)"
"1897","arcC",9846044,"Escherichia coli","carbamate kinase(arcC)"
"1898","arcC",14576796,"Escherichia coli O25b:H4-ST131","Carbamate kinase(arcC)"
"1899","arcC",7150758,"Escherichia coli IAI39","carbamate kinase(arcC)"
"1900","sapA",945873,"Escherichia coli str. K-12 substr. MG1655","antimicrobial peptide transport ABC transporter periplasmic binding protein(sapA)"
"1901","sapA",7157866,"Escherichia coli UMN026","antimicrobial peptide ABC transporter periplasmic-binding protein(sapA)"
"1902","sapA",7152799,"Escherichia coli IAI39","antimicrobial peptide ABC transporter periplasmic-binding protein(sapA)"
"1903","mviM",7152162,"Escherichia coli IAI39","putative oxidoreductase(mviM)"
"1904","mviM",7158529,"Escherichia coli UMN026","putative oxidoreductase(mviM)"
"1905","lysP",7155143,"Escherichia coli UMN026","lysine transporter(lysP)"
"1906","lysP",7150950,"Escherichia coli IAI39","lysine transporter(lysP)"
"1907","lysP",946667,"Escherichia coli str. K-12 substr. MG1655","lysine transporter(lysP)"
"1908","mviN",7157217,"Escherichia coli UMN026","hypothetical protein(mviN)"
"1909","mviN",7151363,"Escherichia coli IAI39","hypothetical protein(mviN)"
"1910","umuC",17688529,"Escherichia coli","UmuC(umuC)"
"1911","umuC",9846082,"Escherichia coli","pseudo(umuC)"
"1912","umuC",13905286,"Escherichia coli","UV protection protein UmuC(umuC)"
"1913","umuC",18252837,"Escherichia coli ACN001","UV protection protein UmuC(umuC)"
"1914","umuC",20490480,"Escherichia coli","UV protection protein UmuC(umuC)"
"1915","umuC",7151173,"Escherichia coli IAI39","DNA polymerase V subunit UmuC(umuC)"
"1916","umuC",3244855,"Escherichia coli","similar to protein family HMM PF00817(umuC)"
"1917","umuC",13903362,"Escherichia coli","UV protection protein UmuC(umuC)"
"1918","umuC",17815100,"Escherichia coli","DNA polymerase V subunit UmuC(umuC)"
"1919","umuC",946359,"Escherichia coli str. K-12 substr. MG1655","translesion error-prone DNA polymerase V subunit; DNA polymerase activity(umuC)"
"1920","umuC",16833896,"Escherichia coli","error-prone repair protein UmuC(umuC)"
"1921","umuC",10076196,"Escherichia coli","UmuC(umuC)"
"1922","umuC",16991967,"Escherichia coli PMV-1","hypothetical protein(umuC)"
"1923","umuC",13701004,"Escherichia coli O104:H4 str. 2011C-3493","DNA polymerase V subunit UmuC(umuC)"
"1924","umuC",7701471,"Escherichia coli","DNA polymerase V subunit UmuC(umuC)"
"1925","umuC",3853442,"Escherichia coli","UV mutagenesis and repair protein; possible frameshift; similar to GenBank Accession Number to AAL23540(umuC)"
"1926","umuC",20466948,"Escherichia coli","DNA repair system; DNA polymerase V subunit UmuC(umuC)"
"1927","umuC",17035709,"Escherichia coli","Error-prone, lesion bypass DNA polymerase V (UmuC)(umuC)"
"1928","umuC",8319139,"Escherichia coli","DNA polymerase V subunit UmuC(umuC)"
"1929","umuC",8381898,"Escherichia coli","DNA repair protein UmuC(umuC)"
"1930","umuC",913193,"Escherichia coli O157:H7 str. Sakai","DNA polymerase V subunit UmuC(umuC)"
"1931","umuC",7872112,"Escherichia coli ED1a","DNA polymerase V subunit UmuC(umuC)"
"1932","umuC",17815144,"Escherichia coli","DNA polymerase V subunit UmuC(umuC)"
"1933","umuC",13907023,"Escherichia coli","DNA polymerase V subunit(umuC)"
"1934","umuC",12874832,"Escherichia coli O83:H1 str. NRG 857C","DNA polymerase V subunit UmuC(umuC)"
"1935","umuC",7158187,"Escherichia coli UMN026","DNA polymerase V subunit UmuC(umuC)"
"1936","umuD",945746,"Escherichia coli str. K-12 substr. MG1655","translesion error-prone DNA polymerase V subunit; RecA-activated auto-protease(umuD)"
"1937","umuD",17688530,"Escherichia coli","UmuD(umuD)"
"1938","umuD",13905287,"Escherichia coli","UV protection protein UmuD(umuD)"
"1939","umuD",7156688,"Escherichia coli UMN026","DNA polymerase V subunit UmuD(umuD)"
"1940","umuD",16992061,"Escherichia coli PMV-1","hypothetical protein(umuD)"
"1941","umuD",20490510,"Escherichia coli","UV protection protein UmuD(umuD)"
"1942","umuD",8381899,"Escherichia coli","DNA repair protein UmuD(umuD)"
"1943","umuD",13906604,"Escherichia coli","UV repair protein UmuD(umuD)"
"1944","umuD",7153102,"Escherichia coli IAI39","DNA polymerase V subunit UmuD(umuD)"
"1945","umuD",10076139,"Escherichia coli","UmuD(umuD)"
"1946","umuD",13907024,"Escherichia coli","UV protection protein(umuD)"
"1947","sanA",7150920,"Escherichia coli IAI39","hypothetical protein(sanA)"
"1948","sanA",949003,"Escherichia coli str. K-12 substr. MG1655","DUF218 superfamily vancomycin high temperature exclusion protein(sanA)"
"1949","sanA",7155937,"Escherichia coli UMN026","hypothetical protein(sanA)"
"1950","fixC",7156369,"Escherichia coli UMN026","putative oxidoreductase FixC(fixC)"
"1951","fixC",7151341,"Escherichia coli IAI39","putative oxidoreductase(fixC)"
"1952","fixC",948958,"Escherichia coli str. K-12 substr. MG1655","putative oxidoreductase(fixC)"
"1953","fixA",947316,"Escherichia coli str. K-12 substr. MG1655","anaerobic carnitine reduction putative electron transfer flavoprotein subunit(fixA)"
"1954","fixA",7155916,"Escherichia coli UMN026","putative electron transfer flavoprotein FixA(fixA)"
"1955","fixA",7150900,"Escherichia coli IAI39","putative electron transfer flavoprotein FixA(fixA)"
"1956","fixB",7151340,"Escherichia coli IAI39","putative electron transfer flavoprotein FixB(fixB)"
"1957","fixB",13703513,"Escherichia coli O104:H4 str. 2011C-3493","putative electron transfer flavoprotein FixB(fixB)"
"1958","fixB",7156368,"Escherichia coli UMN026","putative electron transfer flavoprotein FixB(fixB)"
"1959","fixB",12874275,"Escherichia coli O83:H1 str. NRG 857C","putative electron transfer flavoprotein FixB(fixB)"
"1960","fixB",913442,"Escherichia coli O157:H7 str. Sakai","electron transfer flavoprotein FixB(fixB)"
"1961","fixB",948939,"Escherichia coli str. K-12 substr. MG1655","putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein(fixB)"
"1962","thrS",946222,"Escherichia coli str. K-12 substr. MG1655","threonyl-tRNA synthetase(thrS)"
"1963","thrS",13701504,"Escherichia coli O104:H4 str. 2011C-3493","threonyl-tRNA synthetase(thrS)"
"1964","thrS",7149722,"Escherichia coli IAI39","threonyl-tRNA synthetase(thrS)"
"1965","thrS",7156813,"Escherichia coli UMN026","threonyl-tRNA synthetase(thrS)"
"1966","uidR",7158174,"Escherichia coli UMN026","DNA-binding transcriptional repressor(uidR)"
"1967","uidR",7151622,"Escherichia coli IAI39","DNA-binding transcriptional repressor(uidR)"
"1968","uidR",946150,"Escherichia coli str. K-12 substr. MG1655","transcriptional repressor(uidR)"
"1969","thrA",913388,"Escherichia coli O157:H7 str. Sakai","bifunctional aspartokinase I/homoserine dehydrogenase I(thrA)"
"1970","thrA",945803,"Escherichia coli str. K-12 substr. MG1655","Bifunctional aspartokinase/homoserine dehydrogenase 1(thrA)"
"1971","thrA",7158067,"Escherichia coli UMN026","bifunctional aspartokinase I/homoserine dehydrogenase I(thrA)"
"1972","thrA",12876368,"Escherichia coli O83:H1 str. NRG 857C","bifunctional aspartokinase I/homoserine dehydrogenase I(thrA)"
"1973","thrA",13703552,"Escherichia coli O104:H4 str. 2011C-3493","bifunctional aspartokinase I/homoserine dehydrogenase I(thrA)"
"1974","thrA",7152980,"Escherichia coli IAI39","bifunctional aspartokinase I/homoserine dehydrogenase I(thrA)"
"1975","thrB",7158064,"Escherichia coli UMN026","homoserine kinase(thrB)"
"1976","thrB",947498,"Escherichia coli str. K-12 substr. MG1655","homoserine kinase(thrB)"
"1977","thrB",7152977,"Escherichia coli IAI39","homoserine kinase(thrB)"
"1978","thrC",945198,"Escherichia coli str. K-12 substr. MG1655","L-threonine synthase(thrC)"
"1979","thrC",7158065,"Escherichia coli UMN026","threonine synthase(thrC)"
"1980","thrC",7152978,"Escherichia coli IAI39","threonine synthase(thrC)"
"1981","fixX",948590,"Escherichia coli str. K-12 substr. MG1655","putative 4Fe-4S ferredoxin-type protein(fixX)"
"1982","fixX",7151342,"Escherichia coli IAI39","putative 4Fe-4S ferredoxin(fixX)"
"1983","fixX",7156370,"Escherichia coli UMN026","putative 4Fe-4S ferredoxin(fixX)"
"1984","polB",944779,"Escherichia coli str. K-12 substr. MG1655","DNA polymerase II(polB)"
"1985","polB",7156662,"Escherichia coli UMN026","DNA polymerase II(polB)"
"1986","polB",7151636,"Escherichia coli IAI39","DNA polymerase II(polB)"
"1987","thrL",7159698,"Escherichia coli UMN026","thr operon leader peptide(thrL)"
"1988","thrL",913387,"Escherichia coli O157:H7 str. Sakai","thr operon leader peptide(thrL)"
"1989","thrL",7150518,"Escherichia coli IAI39","thr operon leader peptide(thrL)"
"1990","thrL",944742,"Escherichia coli str. K-12 substr. MG1655","thr operon leader peptide(thrL)"
"1991","sulA",7156861,"Escherichia coli UMN026","SOS cell division inhibitor(sulA)"
"1992","sulA",7153427,"Escherichia coli IAI39","SOS cell division inhibitor(sulA)"
"1993","sulA",947335,"Escherichia coli str. K-12 substr. MG1655","SOS cell division inhibitor(sulA)"
"1994","rpsB",7158016,"Escherichia coli UMN026","30S ribosomal protein S2(rpsB)"
"1995","rpsB",7152935,"Escherichia coli IAI39","30S ribosomal protein S2(rpsB)"
"1996","rpsB",913849,"Escherichia coli O157:H7 str. Sakai","30S ribosomal protein S2(rpsB)"
"1997","rpsB",13703391,"Escherichia coli O104:H4 str. 2011C-3493","30S ribosomal protein S2(rpsB)"
"1998","rpsB",947874,"Escherichia coli str. K-12 substr. MG1655","30S ribosomal subunit protein S2(rpsB)"
