"","From","To","Species","Gene.Name"
"704","ybhN",945410,"Escherichia coli str. K-12 substr. MG1655","UPF0104 family inner membrane protein(ybhN)"
"705","ybhK",945390,"Escherichia coli str. K-12 substr. MG1655","putative CofD superfamily transferase(ybhK)"
"706","ybhL",945401,"Escherichia coli str. K-12 substr. MG1655","putative acetate transporter; BAX Inhibitor-1 family inner membrane protein(ybhL)"
"707","ybhA",945372,"Escherichia coli str. K-12 substr. MG1655","pyridoxal phosphate (PLP) phosphatase(ybhA)"
"708","eamA",946081,"Escherichia coli str. K-12 substr. MG1655","cysteine and O-acetyl-L-serine efflux system(eamA)"
"709","pphA",946356,"Escherichia coli str. K-12 substr. MG1655","serine/threonine-specific protein phosphatase 1(pphA)"
"710","ybhB",945383,"Escherichia coli str. K-12 substr. MG1655","kinase inhibitor homolog, UPF0098 family(ybhB)"
"711","holE",947471,"Escherichia coli str. K-12 substr. MG1655","DNA polymerase III, theta subunit(holE)"
"712","pgm",945271,"Escherichia coli str. K-12 substr. MG1655","phosphoglucomutase(pgm)"
"713","ybhF",945413,"Escherichia coli str. K-12 substr. MG1655","putative ABC transporter ATPase(ybhF)"
"714","ybhC",945381,"Escherichia coli str. K-12 substr. MG1655","acyl-CoA thioesterase, lipoprotein(ybhC)"
"715","ybhD",944869,"Escherichia coli str. K-12 substr. MG1655","putative DNA-binding transcriptional regulator(ybhD)"
"716","csgA",949055,"Escherichia coli str. K-12 substr. MG1655","curlin subunit, amyloid curli fibers, cryptic(csgA)"
"717","csgB",947391,"Escherichia coli str. K-12 substr. MG1655","curlin nucleator protein, minor subunit in curli complex(csgB)"
"718","bdm",946041,"Escherichia coli str. K-12 substr. MG1655","biofilm-dependent modulation protein(bdm)"
"719","csgE",945711,"Escherichia coli str. K-12 substr. MG1655","curlin secretion specificity factor(csgE)"
"720","ybiY",945445,"Escherichia coli str. K-12 substr. MG1655","putative pyruvate formate lyase activating enzyme(ybiY)"
"721","csgF",945622,"Escherichia coli str. K-12 substr. MG1655","curli nucleation outer membrane protein(csgF)"
"722","ybiX",947502,"Escherichia coli str. K-12 substr. MG1655","Fe(II)-dependent oxygenase superfamily protein(ybiX)"
"723","csgC",945623,"Escherichia coli str. K-12 substr. MG1655","curli assembly protein(csgC)"
"724","csgD",949119,"Escherichia coli str. K-12 substr. MG1655","csgBAC operon transcriptional regulator(csgD)"
"725","ybiU",945439,"Escherichia coli str. K-12 substr. MG1655","DUF1479 family protein(ybiU)"
"726","gnsA",1450249,"Escherichia coli str. K-12 substr. MG1655","putative phosphatidylethanolamine synthesis regulator(gnsA)"
"727","ybiT",945440,"Escherichia coli str. K-12 substr. MG1655","ABC-F family putative regulatory ATPase(ybiT)"
"728","narL",945795,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with NarX(narL)"
"729","dksA",944850,"Escherichia coli str. K-12 substr. MG1655","transcriptional regulator of rRNA transcription; DnaK suppressor protein(dksA)"
"730","ybiW",945444,"Escherichia coli str. K-12 substr. MG1655","putative pyruvate formate lyase(ybiW)"
"731","ybiV",945432,"Escherichia coli str. K-12 substr. MG1655","sugar phosphatase; fructose-1-P/ribose-5-P/glucose-6-P phosphatase(ybiV)"
"732","gnsB",946054,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)(gnsB)"
"733","focA",945513,"Escherichia coli str. K-12 substr. MG1655","formate channel(focA)"
"734","narK",945783,"Escherichia coli str. K-12 substr. MG1655","nitrate/nitrite transporter(narK)"
"735","narJ",945807,"Escherichia coli str. K-12 substr. MG1655","molybdenum-cofactor-assembly chaperone delta subunit of nitrate reductase 1(narJ)"
"736","narI",945808,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 1, gamma (cytochrome b(NR)) subunit(narI)"
"737","narH",945780,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 1, beta (Fe-S) subunit(narH)"
"738","ybiR",945438,"Escherichia coli str. K-12 substr. MG1655","putative transporter(ybiR)"
"739","narG",945782,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 1, alpha subunit(narG)"
"740","narU",945799,"Escherichia coli str. K-12 substr. MG1655","nitrate/nitrite transporter(narU)"
"741","narV",946029,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 2 (NRZ), gamma subunit(narV)"
"742","msbA",945530,"Escherichia coli str. K-12 substr. MG1655","lipid ABC transporter permease/ATPase(msbA)"
"743","ybiO",945935,"Escherichia coli str. K-12 substr. MG1655","mechanosensitive channel protein, intermediate conductance(ybiO)"
"744","ybiH",945421,"Escherichia coli str. K-12 substr. MG1655","DUF1956 domain-containing tetR family putative transcriptional regulator(ybiH)"
"745","ybiI",945434,"Escherichia coli str. K-12 substr. MG1655","DksA-type zinc finger protein(ybiI)"
"746","ybiJ",945433,"Escherichia coli str. K-12 substr. MG1655","DUF1471 family putative periplasmic protein(ybiJ)"
"747","uvrC",947203,"Escherichia coli str. K-12 substr. MG1655","excinuclease UvrABC, endonuclease subunit(uvrC)"
"748","uvrB",945385,"Escherichia coli str. K-12 substr. MG1655","exision nuclease of nucleotide excision repair, DNA damage recognition component(uvrB)"
"749","csgG",945619,"Escherichia coli str. K-12 substr. MG1655","curli production assembly/transport outer membrane lipoprotein(csgG)"
"750","narY",946034,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 2 (NRZ), beta subunit(narY)"
"751","narZ",945999,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 2 (NRZ), alpha subunit(narZ)"
"752","ybiA",945426,"Escherichia coli str. K-12 substr. MG1655","DUF1768 family protein(ybiA)"
"753","narW",946032,"Escherichia coli str. K-12 substr. MG1655","nitrate reductase 2 (NRZ), delta subunit (assembly subunit)(narW)"
"754","ybiB",945424,"Escherichia coli str. K-12 substr. MG1655","putative family 3 glycosyltransferase(ybiB)"
"755","narX",945788,"Escherichia coli str. K-12 substr. MG1655","sensory histidine kinase in two-component regulatory system with NarL(narX)"
"756","ybiC",945412,"Escherichia coli str. K-12 substr. MG1655","putative dehydrogenase(ybiC)"
"757","acnB",944864,"Escherichia coli str. K-12 substr. MG1655","aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase(acnB)"
"758","acnA",946724,"Escherichia coli str. K-12 substr. MG1655","aconitate hydratase 1; aconitase A(acnA)"
"759","ybjX",946025,"Escherichia coli str. K-12 substr. MG1655","DUF535 family protein(ybjX)"
"760","hha",945098,"Escherichia coli str. K-12 substr. MG1655","modulator of gene expression, with H-NS(hha)"
"761","pfkB",946230,"Escherichia coli str. K-12 substr. MG1655","6-phosphofructokinase II(pfkB)"
"762","ybjT",945496,"Escherichia coli str. K-12 substr. MG1655","putative NAD-dependent oxidoreductase(ybjT)"
"763","ybjS",945495,"Escherichia coli str. K-12 substr. MG1655","putative NAD(P)H-dependent oxidoreductase(ybjS)"
"764","ybjQ",945493,"Escherichia coli str. K-12 substr. MG1655","UPF0145 family protein(ybjQ)"
"765","ybjO",945488,"Escherichia coli str. K-12 substr. MG1655","DUF2593 family inner membrane protein(ybjO)"
"766","ybjP",945491,"Escherichia coli str. K-12 substr. MG1655","lipoprotein(ybjP)"
"767","ybjM",945477,"Escherichia coli str. K-12 substr. MG1655","inner membrane protein(ybjM)"
"768","ybjN",945482,"Escherichia coli str. K-12 substr. MG1655","negative regulator of motility; multicopy suppressor of coaA(Ts)(ybjN)"
"769","ybjL",945474,"Escherichia coli str. K-12 substr. MG1655","putative transporter(ybjL)"
"770","ybjI",945470,"Escherichia coli str. K-12 substr. MG1655","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis(ybjI)"
"771","ybjJ",945471,"Escherichia coli str. K-12 substr. MG1655","putative drug efflux MFS transporter, inner membrane protein(ybjJ)"
"772","ybjG",945450,"Escherichia coli str. K-12 substr. MG1655","undecaprenyl pyrophosphate phosphatase(ybjG)"
"773","ybjH",945447,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(ybjH)"
"774","ybjE",947142,"Escherichia coli str. K-12 substr. MG1655","putative transporter(ybjE)"
"775","ybjC",945481,"Escherichia coli str. K-12 substr. MG1655","DUF1418 family protein(ybjC)"
"776","ybjD",945498,"Escherichia coli str. K-12 substr. MG1655","putative OLD family ATP-dependent endonuclease; DUF2813 family protein(ybjD)"
"777","ybcJ",945158,"Escherichia coli str. K-12 substr. MG1655","ribosome-associated protein; putative RNA-binding protein(ybcJ)"
"778","ybcK",945166,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; putative recombinase(ybcK)"
"779","ybcL",945165,"Escherichia coli str. K-12 substr. MG1655","inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein(ybcL)"
"780","ybcM",945163,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; putative DNA-binding transcriptional regulator(ybcM)"
"781","ybcN",945162,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; uncharacterized protein(ybcN)"
"782","nhoA",947251,"Escherichia coli str. K-12 substr. MG1655","N-hydroxyarylamine O-acetyltransferase(nhoA)"
"783","ybcO",945147,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; uncharacterized protein(ybcO)"
"784","ppdD",945817,"Escherichia coli str. K-12 substr. MG1655","putative prepilin peptidase-dependent pilin(ppdD)"
"785","ybcW",945175,"Escherichia coli str. K-12 substr. MG1655","DLP12 prophage; uncharacterized protein(ybcW)"
"786","ybbY",945131,"Escherichia coli str. K-12 substr. MG1655","putative uracil/xanthine transporter(ybbY)"
"787","acrR",945516,"Escherichia coli str. K-12 substr. MG1655","transcriptional repressor(acrR)"
"788","ybcI",945155,"Escherichia coli str. K-12 substr. MG1655","DUF457 family inner membrane protein(ybcI)"
"789","ybcH",945186,"Escherichia coli str. K-12 substr. MG1655","PRK09936 family protein(ybcH)"
"790","ybdM",945206,"Escherichia coli str. K-12 substr. MG1655","Spo0J family protein, ParB-like nuclease domain(ybdM)"
"791","mgsA",945574,"Escherichia coli str. K-12 substr. MG1655","methylglyoxal synthase(mgsA)"
"792","ybdN",945205,"Escherichia coli str. K-12 substr. MG1655","PAPS reductase-like domain protein(ybdN)"
"793","ybdK",947246,"Escherichia coli str. K-12 substr. MG1655","weak gamma-glutamyl:cysteine ligase(ybdK)"
"794","ybdL",945211,"Escherichia coli str. K-12 substr. MG1655","methionine aminotransferase, PLP-dependent(ybdL)"
"795","ybdR",949067,"Escherichia coli str. K-12 substr. MG1655","putative Zn-dependent NAD(P)-binding oxidoreductase(ybdR)"
"796","htrE",944819,"Escherichia coli str. K-12 substr. MG1655","putative outer membrane usher protein(htrE)"
"797","uvrY",946424,"Escherichia coli str. K-12 substr. MG1655","response regulator in two-component regulatory system with BarA(uvrY)"
"798","ybdZ",1450243,"Escherichia coli str. K-12 substr. MG1655","stimulator of EntF adenylation activity, MbtH-like(ybdZ)"
"799","ybdF",948302,"Escherichia coli str. K-12 substr. MG1655","DUF419 family protein(ybdF)"
"800","ybdD",949021,"Escherichia coli str. K-12 substr. MG1655","DUF466 family protein(ybdD)"
"801","ybdJ",947183,"Escherichia coli str. K-12 substr. MG1655","DUF1158 family putative inner membrane protein(ybdJ)"
"802","ybdH",945212,"Escherichia coli str. K-12 substr. MG1655","putative oxidoreductase(ybdH)"
"803","ybdG",946243,"Escherichia coli str. K-12 substr. MG1655","mechanosensitive channel protein, miniconductance(ybdG)"
"804","ybeQ",945251,"Escherichia coli str. K-12 substr. MG1655","Sel1 family TPR-like repeat protein(ybeQ)"
"805","ybeR",945249,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(ybeR)"
"806","ybeL",945252,"Escherichia coli str. K-12 substr. MG1655","DUF1451 family protein(ybeL)"
"807","rhlE",945425,"Escherichia coli str. K-12 substr. MG1655","ATP-dependent RNA helicase(rhlE)"
"808","ybeM",4056041,"Escherichia coli str. K-12 substr. MG1655","pseudo(ybeM)"
"809","ybeX",946417,"Escherichia coli str. K-12 substr. MG1655","putative ion transport(ybeX)"
"810","ruvC",946378,"Escherichia coli str. K-12 substr. MG1655","component of RuvABC resolvasome, endonuclease(ruvC)"
"811","ybeY",946430,"Escherichia coli str. K-12 substr. MG1655","ssRNA-specific endoribonuclease; 16S rRNA 3' end maturation and quality control co-endoribonuclease working with RNase R; rRNA transcription antitermination factor(ybeY)"
"812","ybeZ",948044,"Escherichia coli str. K-12 substr. MG1655","heat shock protein, putative NTPase; PhoH-like protein(ybeZ)"
"813","tyrP",946412,"Escherichia coli str. K-12 substr. MG1655","tyrosine transporter(tyrP)"
"814","tyrT",945820,"Escherichia coli str. K-12 substr. MG1655","tRNA(tyrT)"
"815","tyrS",948855,"Escherichia coli str. K-12 substr. MG1655","tyrosyl-tRNA synthetase(tyrS)"
"816","tyrR",945879,"Escherichia coli str. K-12 substr. MG1655","aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase(tyrR)"
"817","ruvB",946371,"Escherichia coli str. K-12 substr. MG1655","ATP-dependent DNA helicase, component of RuvABC resolvasome(ruvB)"
"818","ruvA",946369,"Escherichia coli str. K-12 substr. MG1655","component of RuvABC resolvasome, regulatory subunit(ruvA)"
"819","tyrV",945811,"Escherichia coli str. K-12 substr. MG1655","tRNA(tyrV)"
"820","acpP",944805,"Escherichia coli str. K-12 substr. MG1655","acyl carrier protein (ACP)(acpP)"
"821","ybeD",945220,"Escherichia coli str. K-12 substr. MG1655","UPF0250 family protein(ybeD)"
"822","ybeF",945219,"Escherichia coli str. K-12 substr. MG1655","LysR family putative transcriptional regulator(ybeF)"
"823","ybfP",945274,"Escherichia coli str. K-12 substr. MG1655","lipoprotein(ybfP)"
"824","acrB",945108,"Escherichia coli str. K-12 substr. MG1655","multidrug efflux system protein(acrB)"
"825","acrA",945112,"Escherichia coli str. K-12 substr. MG1655","multidrug efflux system(acrA)"
"826","hokB",2847727,"Escherichia coli str. K-12 substr. MG1655","toxic polypeptide, small(hokB)"
"827","nmpC",946786,"Escherichia coli str. K-12 substr. MG1655","pseudo(nmpC)"
"828","ybfD",945176,"Escherichia coli str. K-12 substr. MG1655","H repeat-associated putative transposase(ybfD)"
"829","ybfC",947288,"Escherichia coli str. K-12 substr. MG1655","putative secreted protein(ybfC)"
"830","ybfB",947566,"Escherichia coli str. K-12 substr. MG1655","putative membrane protein(ybfB)"
"831","ybfA",947452,"Escherichia coli str. K-12 substr. MG1655","DUF2517 family protein(ybfA)"
"832","tauB",945027,"Escherichia coli str. K-12 substr. MG1655","taurine ABC transporter ATPase(tauB)"
"833","tauC",945026,"Escherichia coli str. K-12 substr. MG1655","taurine ABC transporter permease(tauC)"
"834","tauA",945030,"Escherichia coli str. K-12 substr. MG1655","taurine ABC transporter periplasmic binding protein(tauA)"
"835","ybfF",945288,"Escherichia coli str. K-12 substr. MG1655","acyl-CoA esterase(ybfF)"
"836","tauD",945021,"Escherichia coli str. K-12 substr. MG1655","taurine dioxygenase, 2-oxoglutarate-dependent(tauD)"
"837","stfR",945207,"Escherichia coli str. K-12 substr. MG1655","Rac prophage; putative tail fiber protein(stfR)"
"838","ybfE",945291,"Escherichia coli str. K-12 substr. MG1655","LexA-regulated protein, CopB family(ybfE)"
"839","ycbV",945562,"Escherichia coli str. K-12 substr. MG1655","putative fimbrial-like adhesin protein(ycbV)"
"840","secA",944821,"Escherichia coli str. K-12 substr. MG1655","preprotein translocase subunit, ATPase(secA)"
"841","secD",949133,"Escherichia coli str. K-12 substr. MG1655","SecYEG protein translocase auxillary subunit(secD)"
"842","ycbU",945561,"Escherichia coli str. K-12 substr. MG1655","putative fimbriae protein(ycbU)"
"843","secF",949120,"Escherichia coli str. K-12 substr. MG1655","SecYEG protein translocase auxillary subunit(secF)"
"844","lpp",946175,"Escherichia coli str. K-12 substr. MG1655","murein lipoprotein(lpp)"
"845","ycbL",945551,"Escherichia coli str. K-12 substr. MG1655","putative metal-binding enzyme(ycbL)"
"846","ycbJ",945545,"Escherichia coli str. K-12 substr. MG1655","protein kinase-like domain protein(ycbJ)"
"847","ycbK",945538,"Escherichia coli str. K-12 substr. MG1655","M15A protease-related family periplasmic protein(ycbK)"
"848","ycbF",945559,"Escherichia coli str. K-12 substr. MG1655","putative periplasmic pilin chaperone(ycbF)"
"849","cspH",945590,"Escherichia coli str. K-12 substr. MG1655","stress protein, member of the CspA-family(cspH)"
"850","cspI",946099,"Escherichia coli str. K-12 substr. MG1655","Qin prophage; cold shock protein(cspI)"
"851","nlpC",946220,"Escherichia coli str. K-12 substr. MG1655","putative C40 clan peptidase lipoprotein(nlpC)"
"852","hupB",949095,"Escherichia coli str. K-12 substr. MG1655","HU, DNA-binding transcriptional regulator, beta subunit(hupB)"
"853","cspC",946339,"Escherichia coli str. K-12 substr. MG1655","stress protein, member of the CspA-family(cspC)"
"854","uup",945566,"Escherichia coli str. K-12 substr. MG1655","replication regulatory ABC-F family DNA-binding ATPase(uup)"
"855","cspG",945591,"Escherichia coli str. K-12 substr. MG1655","cold shock protein homolog, cold-inducible(cspG)"
"856","cspD",945669,"Escherichia coli str. K-12 substr. MG1655","inhibitor of DNA replication, cold shock protein homolog(cspD)"
"857","cspE",947024,"Escherichia coli str. K-12 substr. MG1655","constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein(cspE)"
"858","lon",945085,"Escherichia coli str. K-12 substr. MG1655","DNA-binding ATP-dependent protease La(lon)"
"859","ycaO",945509,"Escherichia coli str. K-12 substr. MG1655","ribosomal protein S12 methylthiotransferase accessory factor(ycaO)"
"860","ycaP",945525,"Escherichia coli str. K-12 substr. MG1655","UPF0702 family putative inner membrane protein(ycaP)"
"861","ycaQ",945524,"Escherichia coli str. K-12 substr. MG1655","DUF1006 family protein with C-terminal wHTH domain(ycaQ)"
"862","ycaR",945537,"Escherichia coli str. K-12 substr. MG1655","peroxide and acid resistance protein, UPF0434 family(ycaR)"
"863","ycaK",945520,"Escherichia coli str. K-12 substr. MG1655","putative NAD(P)H-dependent oxidoreductase(ycaK)"
"864","ycaL",945534,"Escherichia coli str. K-12 substr. MG1655","putative peptidase-related chaperone(ycaL)"
"865","ycaM",945518,"Escherichia coli str. K-12 substr. MG1655","putative transporter(ycaM)"
"866","ycaN",945523,"Escherichia coli str. K-12 substr. MG1655","LysR family putative transcriptional regulator(ycaN)"
"867","msyB",945612,"Escherichia coli str. K-12 substr. MG1655","multicopy suppressor of secY and secA(msyB)"
"868","ycaI",945531,"Escherichia coli str. K-12 substr. MG1655","ComEC family inner membrane protein(ycaI)"
"869","ycaD",945515,"Escherichia coli str. K-12 substr. MG1655","putative MFS transporter, inner membrane protein(ycaD)"
"870","ycaC",945512,"Escherichia coli str. K-12 substr. MG1655","putative isochorismatase family hydrolase(ycaC)"
"871","rrfH",944898,"Escherichia coli str. K-12 substr. MG1655","5S ribosomal RNA of rrnH operon(rrfH)"
"872","ycdT",945593,"Escherichia coli str. K-12 substr. MG1655","diguanylate cyclase, membrane-anchored(ycdT)"
"873","ycdX",948477,"Escherichia coli str. K-12 substr. MG1655","alkaline phosphatase(ycdX)"
"874","ycdY",945609,"Escherichia coli str. K-12 substr. MG1655","redox enzyme maturation protein (REMP) chaperone for YcdX(ycdY)"
"875","ylcG",1450240,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein, DLP12 prophage(ylcG)"
"876","cmk",945535,"Escherichia coli str. K-12 substr. MG1655","cytidylate kinase(cmk)"
"877","copA",946106,"Escherichia coli str. K-12 substr. MG1655","copper transporter(copA)"
"878","lnt",946201,"Escherichia coli str. K-12 substr. MG1655","apolipoprotein N-acyltransferase(lnt)"
"879","betT",945079,"Escherichia coli str. K-12 substr. MG1655","choline transporter of high affinity(betT)"
"880","araF",946409,"Escherichia coli str. K-12 substr. MG1655","L-arabinose ABC transporter periplasmic binding protein(araF)"
"881","araG",946408,"Escherichia coli str. K-12 substr. MG1655","L-arabinose ABC transporter ATPase(araG)"
"882","yccS",947001,"Escherichia coli str. K-12 substr. MG1655","putative transporter, FUSC superfamily inner membrane protein(yccS)"
"883","araD",945294,"Escherichia coli str. K-12 substr. MG1655","L-ribulose-5-phosphate 4-epimerase(araD)"
"884","yccT",945577,"Escherichia coli str. K-12 substr. MG1655","UPF0319 family protein(yccT)"
"885","araB",946017,"Escherichia coli str. K-12 substr. MG1655","L-ribulokinase(araB)"
"886","yccU",949008,"Escherichia coli str. K-12 substr. MG1655","putative CoA-binding protein(yccU)"
"887","araC",944780,"Escherichia coli str. K-12 substr. MG1655","ara regulon transcriptional activator; autorepressor(araC)"
"888","betI",944981,"Escherichia coli str. K-12 substr. MG1655","choline-inducible betIBA-betT divergent operon transcriptional repressor(betI)"
"889","yccX",945304,"Escherichia coli str. K-12 substr. MG1655","weak acylphosphatase(yccX)"
"890","araA",947511,"Escherichia coli str. K-12 substr. MG1655","L-arabinose isomerase(araA)"
"891","osmC",946043,"Escherichia coli str. K-12 substr. MG1655","lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin(osmC)"
"892","yccJ",948930,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yccJ)"
"893","osmB",945866,"Escherichia coli str. K-12 substr. MG1655","osmotically and stress inducible lipoprotein(osmB)"
"894","araJ",949077,"Escherichia coli str. K-12 substr. MG1655","L-arabinose-inducible putative transporter, MFS family(araJ)"
"895","yccM",946295,"Escherichia coli str. K-12 substr. MG1655","putative 4Fe-4S membrane protein(yccM)"
"896","betA",945716,"Escherichia coli str. K-12 substr. MG1655","choline dehydrogenase, a flavoprotein(betA)"
"897","araH",948923,"Escherichia coli str. K-12 substr. MG1655","L-arabinose ABC transporter permease(araH)"
"898","betB",947376,"Escherichia coli str. K-12 substr. MG1655","betaine aldehyde dehydrogenase, NAD-dependent(betB)"
"899","osmE",945305,"Escherichia coli str. K-12 substr. MG1655","osmotically-inducible lipoprotein(osmE)"
"900","yccA",946016,"Escherichia coli str. K-12 substr. MG1655","Modulator of FtsH protease, inner membrane protein(yccA)"
"901","yccF",945594,"Escherichia coli str. K-12 substr. MG1655","DUF307 family inner membrane protein(yccF)"
"902","yccE",947468,"Escherichia coli str. K-12 substr. MG1655","uncharacterized protein(yccE)"
"903","cof",945089,"Escherichia coli str. K-12 substr. MG1655","thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase(cof)"
"904","ycbX",945563,"Escherichia coli str. K-12 substr. MG1655","6-N-hydroxylaminopurine detoxification oxidoreductase(ycbX)"
"905","ycbZ",945569,"Escherichia coli str. K-12 substr. MG1655","putative peptidase(ycbZ)"
"906","ylaC",948876,"Escherichia coli str. K-12 substr. MG1655","DUF1449 family inner membrane protein(ylaC)"
"907","ylaB",948951,"Escherichia coli str. K-12 substr. MG1655","putative membrane-anchored cyclic-di-GMP phosphodiesterase(ylaB)"
"908","ilvI",948793,"Escherichia coli str. K-12 substr. MG1655","acetolactate synthase 3 large subunit(ilvI)"
"909","ilvH",947267,"Escherichia coli str. K-12 substr. MG1655","acetolactate synthase 3, small subunit, valine-sensitive(ilvH)"
"910","gpt",944817,"Escherichia coli str. K-12 substr. MG1655","xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase(gpt)"
"911","queA",944905,"Escherichia coli str. K-12 substr. MG1655","S-adenosylmethionine:tRNA ribosyltransferase-isomerase(queA)"
"912","ylbF",945195,"Escherichia coli str. K-12 substr. MG1655","putative anaerobic allantoin catabolic oxamate carbamoyltransferase; DUF2877 family protein(ylbF)"
"913","ylbE",4056025,"Escherichia coli str. K-12 substr. MG1655","NO-induced DUF1116 protein(ylbE)"
"914","ylbG",946803,"Escherichia coli str. K-12 substr. MG1655","pseudo(ylbG)"
"915","pth",945765,"Escherichia coli str. K-12 substr. MG1655","peptidyl-tRNA hydrolase(pth)"
"916","rdgC",948585,"Escherichia coli str. K-12 substr. MG1655","nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function(rdgC)"
"917","gsk",946584,"Escherichia coli str. K-12 substr. MG1655","inosine/guanosine kinase(gsk)"
"918","lrp",949051,"Escherichia coli str. K-12 substr. MG1655","leucine-responsive global transcriptional regulator(lrp)"
"919","poxB",946132,"Escherichia coli str. K-12 substr. MG1655","pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding(poxB)"
"920","crl",945077,"Escherichia coli str. K-12 substr. MG1655","pseudo(crl)"
"921","cstA",945213,"Escherichia coli str. K-12 substr. MG1655","carbon starvation protein involved in peptide utilization; APC peptide transporter family protein(cstA)"
"922","prc",946096,"Escherichia coli str. K-12 substr. MG1655","carboxy-terminal protease for penicillin-binding protein 3(prc)"
"923","cbl",946502,"Escherichia coli str. K-12 substr. MG1655","ssuEADCB/tauABCD operon transcriptional activator(cbl)"
"924","ddpX",945532,"Escherichia coli str. K-12 substr. MG1655","D-ala-D-ala dipeptidase, Zn-dependent(ddpX)"
"925","ycjM",945659,"Escherichia coli str. K-12 substr. MG1655","alpha amylase catalytic domain family protein(ycjM)"
"926","ycjO",945888,"Escherichia coli str. K-12 substr. MG1655","putative sugar ABC transporter permease(ycjO)"
"927","ycjN",945696,"Escherichia coli str. K-12 substr. MG1655","putative ABC sugar transporter periplasmic binding protein(ycjN)"
"928","ycjD",945871,"Escherichia coli str. K-12 substr. MG1655","DUF559 family endonuclease-related protein(ycjD)"
"929","ycjG",946013,"Escherichia coli str. K-12 substr. MG1655","L-Ala-D/L-Glu epimerase(ycjG)"
"930","ycjF",945878,"Escherichia coli str. K-12 substr. MG1655","UPF0283 family inner membrane protein(ycjF)"
"931","lhr",946156,"Escherichia coli str. K-12 substr. MG1655","putative ATP-dependent helicase(lhr)"
"932","ycjX",945872,"Escherichia coli str. K-12 substr. MG1655","DUF463 family protein, puatative P-loop NTPase(ycjX)"
"933","ycjY",945988,"Escherichia coli str. K-12 substr. MG1655","S9 homolog non-peptidase family protein(ycjY)"
"934","ycjT",945895,"Escherichia coli str. K-12 substr. MG1655","putative family 65 glycosyl hydrolase(ycjT)"
"935","ycjU",945891,"Escherichia coli str. K-12 substr. MG1655","beta-phosphoglucomutase(ycjU)"
"936","ycjV",4306141,"Escherichia coli str. K-12 substr. MG1655","pseudo(ycjV)"
"937","ycjW",945875,"Escherichia coli str. K-12 substr. MG1655","LacI family putative transcriptional repressor(ycjW)"
"938","ycjP",945892,"Escherichia coli str. K-12 substr. MG1655","putative sugar ABC transporter permease(ycjP)"
"939","ycjQ",945971,"Escherichia coli str. K-12 substr. MG1655","putative Zn-dependent NAD(P)-binding oxidoreductase(ycjQ)"
"940","ycjR",947427,"Escherichia coli str. K-12 substr. MG1655","putative TIM alpha/beta barrel enzyme(ycjR)"
"941","ycjS",948589,"Escherichia coli str. K-12 substr. MG1655","putative NADH-binding oxidoreductase(ycjS)"
"942","yciN",945860,"Escherichia coli str. K-12 substr. MG1655","DUF2498 protein YciN(yciN)"
"943","dhaL",945748,"Escherichia coli str. K-12 substr. MG1655","dihydroxyacetone kinase, C-terminal domain(dhaL)"
"944","yciM",944858,"Escherichia coli str. K-12 substr. MG1655","LPS regulatory protein; putative modulator of LpxC proteolysis(yciM)"
"945","dhaK",945747,"Escherichia coli str. K-12 substr. MG1655","dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit(dhaK)"
"946","yciK",945838,"Escherichia coli str. K-12 substr. MG1655","putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase(yciK)"
"947","yciI",949085,"Escherichia coli str. K-12 substr. MG1655","putative DGPF domain-containing enzyme(yciI)"
"948","yciH",947058,"Escherichia coli str. K-12 substr. MG1655","initiation factor function partial mimic, SUI1 family(yciH)"
